request_id,task_type,category,query_text,base_query_id,repetition_type,prompt_tokens,output_tokens,business_importance,security_sensitivity
50,question_answering,architecture_standards,Can you help me evaluate microservices decomposition strategy for DataLake as soon as possible.,363,semantic,195,50,0.5044585954675351,0.03537778194397711
51,retrieval,it_operations,Review SLA targets for DataLake production availability [ref:51-337644],-1,new,1271,474,0.7932962269685672,0.22176743045579628
52,reasoning,compliance,Verify PCI-DSS requirements regarding SecurityOps payment processing as soon as possible.,268,semantic,511,94,0.8841618895482569,0.2926882917904779
53,summarization,architecture_standards,Assess event-driven architecture suitability for DevOpsToolchain [ref:53-74423],-1,new,992,150,0.5766400759045138,0.2425616251731294
54,classification,architecture_standards,Evaluate microservices decomposition strategy for SecurityOps [ref:54-894443],-1,new,667,198,0.9124571629924199,0.0058446161950896055
55,summarization,it_operations,Analyze capacity planning projections for CloudPlatform infrastructure [ref:55-912400],-1,new,328,88,0.8015962497350764,0.06349000309224959
56,summarization,security_policy,Analyze incident response procedures for CloudPlatform security breaches,556,exact,345,74,0.7925410724243734,0.3132853267256543
57,summarization,security_policy,Evaluate MFA enforcement for PaymentGateway privileged accounts [ref:57-714563],-1,new,1308,214,0.9929170549705039,0.40044598863460146
58,classification,financial_procedures,Assess revenue recognition guideline regarding DataLake subscription services as soon as possible.,306,semantic,536,185,0.43840340595051264,0.07072843943029587
59,extraction,security_policy,Analyze incident response procedures for SecurityOps security breaches,55,exact,463,124,0.6300723036439795,0.3569658291254143
60,question_answering,financial_procedures,Examine budget allocation process regarding CloudPlatform capital expenditure for our team?,546,semantic,137,38,0.7709675786954643,0.2715043817991472
61,retrieval,security_policy,Assess data encryption standards for DataLake at rest and in transit [ref:61-61323],-1,new,462,61,0.9286002178979407,0.38271619331828016
62,classification,hr_policies,Analyze compensation benchmarking for PaymentGateway technical roles [ref:62-282492],-1,new,329,82,0.7747613157645927,0.281738580727056
63,reasoning,hr_policies,Can you help me review remote work policy applicability to ContentCMS engineering teams for our team?,475,semantic,7015,1431,0.9324740587233166,0.20524160091570462
64,reasoning,project_knowledge,Answer questions about DataLake technical debt backlog [ref:64-956701],-1,new,1802,324,0.7399053491522364,0.19409133076392637
65,question_answering,hr_policies,Review remote work policy applicability to SecurityOps engineering teams [ref:65-298319],-1,new,413,147,0.6069988527487872,0.16661437378868835
66,extraction,architecture_standards,Review API gateway design patterns for ContentCMS integration layer [ref:66-990711],-1,new,332,114,0.7519497996277322,0.2600078904989927
67,question_answering,financial_procedures,Assess procurement compliance for MLPipeline vendor contracts,171,exact,4721,1099,0.7911471540212516,0.1662992630561277
68,extraction,financial_procedures,Examine budget allocation process for CloudPlatform capital expenditure for our team?,696,semantic,1588,432,0.9110274600665584,0.4758769932393425
69,retrieval,financial_procedures,Review budget allocation process for IdentityService capital expenditure,507,exact,810,271,0.735276378005398,0.062166878041376224
70,extraction,financial_procedures,Review budget allocation process for MLPipeline capital expenditure,123,exact,293,116,0.6440340671026533,0.3298347709640074
71,question_answering,it_operations,Assess disaster recovery plan regarding MLPipeline critical services for our team?,520,semantic,791,239,0.7548492953905154,0.32626905182667476
72,classification,project_knowledge,Answer questions about CustomerPortal technical debt backlog [ref:72-593279],-1,new,2329,308,0.57489530080768,0.15881657714140274
73,retrieval,hr_policies,Assess onboarding protocols for DataLake new team members as soon as possible.,711,semantic,444,142,0.622854377308989,0.32067474028994897
74,classification,financial_procedures,Investigate expense approval workflow regarding LegacyERP operational costs based on current guidelines.,662,semantic,299,48,0.7809210781105573,0.027579942494393737
75,retrieval,hr_policies,Review remote work policy applicability to SecurityOps engineering teams,497,exact,510,90,0.6731680329876893,0.2874207441408369
76,summarization,financial_procedures,Validate financial close procedures for DevOpsToolchain quarterly reporting [ref:76-169396],-1,new,1083,336,0.8915518266026099,0.14302345787656934
77,classification,project_knowledge,Extract key requirements from SecurityOps stakeholder meeting notes [ref:77-585597],-1,new,477,119,0.48171624828874304,0.17720492304875177
78,question_answering,security_policy,Review access control policy for CloudPlatform under SOC2 requirements [ref:78-492895],-1,new,913,290,0.8971727214407984,0.40188988943540616
79,retrieval,compliance,Verify GDPR data retention compliance for MobileApp customer records [ref:79-366114],-1,new,1629,434,0.4314212971458726,0.13251149568113302
80,summarization,hr_policies,Assess onboarding procedures for MLPipeline new team members,626,exact,749,157,0.778403098652797,0.09225868787290535
81,retrieval,financial_procedures,Analyze expense approval workflow for DataLake operational costs,482,exact,1434,294,0.891902549377597,0.1573092173796087
82,retrieval,compliance,Can you help me verify GDPR data retention compliance for SecurityOps customer records based on current guidelines.,72,semantic,203,25,0.5688565042523143,0.2293085834543896
83,retrieval,architecture_standards,Analyze container orchestration approach for DevOpsToolchain workloads [ref:83-311317],-1,new,1358,312,0.9466253041943281,0.30443398372594277
84,retrieval,financial_procedures,Review budget allocation process for MLPipeline capital expenditure [ref:84-672794],-1,new,6835,1327,0.7382016471451887,0.029928090787772657
85,classification,security_policy,Analyze incident response procedures for DataLake security breaches,442,exact,978,291,0.316906287865618,0.46123794382060185
86,classification,financial_procedures,Validate financial close procedures for LegacyERP quarterly reporting [ref:86-582960],-1,new,1891,707,0.5289588615435389,0.07745334806110714
87,classification,it_operations,Evaluate monitoring and alerting configuration for DataLake,435,exact,1230,472,0.7519337315549629,0.4149609097379846
88,summarization,architecture_standards,Analyze container orchestration approach for IdentityService workloads [ref:88-17745],-1,new,487,183,0.6309494339667984,0.05002289629151235
89,retrieval,security_policy,Assess data encryption standards for MobileApp at rest and in transit [ref:89-832124],-1,new,1802,695,0.7154995707069625,0.47879629227744197
90,question_answering,hr_policies,Analyze compensation benchmarking regarding LegacyERP technical roles for our team?,133,semantic,427,116,0.5935970583719347,0.12728234055790377
91,retrieval,it_operations,Validate change management process for ContentCMS deployments,354,exact,7978,2000,0.517587798513327,0.021181251420429526
92,question_answering,hr_policies,Can you help me evaluate performance review criteria for ContentCMS project contributors for our team?,421,semantic,1885,265,0.8767383721681677,0.22346988416756575
93,extraction,compliance,Verify GDPR data retention compliance for DataLake customer records [ref:93-147847],-1,new,422,107,0.6758315154378733,0.020788899680668844
94,extraction,compliance,Audit HIPAA safeguards for MobileApp healthcare data processing,156,exact,1702,677,0.54605770364979,0.03794978967663867
95,retrieval,it_operations,Assess disaster recovery plan for AnalyticsEngine critical services,763,exact,315,106,0.5141533697918055,0.43868402409740326
96,extraction,financial_procedures,Examine budget allocation process regarding CustomerPortal capital expenditure as soon as possible.,97,semantic,1294,135,0.6791977494290153,0.0667896790746144
97,summarization,security_policy,Analyze incident response procedures for CloudPlatform security breaches,556,exact,347,123,0.7925410724243734,0.3132853267256543
98,retrieval,compliance,Assess ISO 27001 alignment for CustomerPortal information security program,111,exact,384,146,0.817990697489228,0.0671770965519468
99,classification,financial_procedures,Investigate expense approval workflow regarding LegacyERP operational costs for our team?,662,semantic,290,113,0.7809210781105573,0.027579942494393737
100,question_answering,security_policy,Analyze incident response procedures for CloudPlatform security breaches,519,exact,1991,594,0.8186285994014645,0.4129702391189519
101,summarization,hr_policies,Analyze compensation benchmarking for MobileApp technical roles [ref:101-573119],-1,new,1566,581,0.6181491288341272,0.05242582412274297
102,summarization,architecture_standards,Analyze container orchestration approach for CustomerPortal workloads [ref:102-940066],-1,new,218,38,0.534436631218829,0.24991120013189444
103,retrieval,financial_procedures,Examine budget allocation process regarding PaymentGateway capital expenditure as soon as possible.,6,semantic,280,64,0.8560276276820061,0.014671597802400908
104,summarization,compliance,Check PCI-DSS requirements for IdentityService payment processing [ref:104-622232],-1,new,7196,1909,0.7493682413267846,0.012443287220690179
105,extraction,architecture_standards,Assess event-driven architecture suitability for CustomerPortal [ref:105-913094],-1,new,170,20,0.8294698329644665,0.06546224441217321
106,question_answering,compliance,Review SOX controls for IdentityService financial reporting systems [ref:106-726990],-1,new,156,35,0.7764182802552301,0.26746520749418223
107,extraction,compliance,Assess ISO 27001 alignment regarding SecurityOps information security program based on current guidelines.,242,semantic,2521,481,0.8951985387379456,0.041580337723908
108,reasoning,project_knowledge,Extract key requirements from MobileApp stakeholder meeting notes,69,exact,155,27,0.729413882269813,0.2601190025416952
109,classification,it_operations,Review SLA targets for SecurityOps production availability [ref:109-297263],-1,new,498,156,0.8133988305818527,0.1842892241121964
110,classification,it_operations,Evaluate monitoring and alerting configuration for AnalyticsEngine,23,exact,440,111,0.7250844769772036,0.28466007217797545
111,extraction,architecture_standards,Analyze container orchestration approach regarding DevOpsToolchain workloads within the enterprise framework.,746,semantic,1894,679,0.6500536502745121,0.15166499488169305
112,classification,project_knowledge,Reason through trade-offs for LegacyERP technology migration path [ref:112-568247],-1,new,147,53,0.7973041819003336,0.05533849647013457
113,question_answering,financial_procedures,Review budget allocation process regarding CloudPlatform capital expenditure as soon as possible.,546,semantic,155,41,0.7709675786954643,0.2715043817991472
114,classification,hr_policies,Assess onboarding procedures for DevOpsToolchain new team members [ref:114-817533],-1,new,291,49,0.7129909947923091,0.30368882137360514
115,summarization,architecture_standards,Evaluate microservices decomposition strategy for LegacyERP,17,exact,1874,452,0.29801339548534933,0.12168680779886204
116,classification,financial_procedures,Review budget allocation process for CloudPlatform capital expenditure [ref:116-314849],-1,new,360,85,0.597307789102664,0.19671847848402155
117,extraction,architecture_standards,Confirm service mesh implementation for LegacyERP inter-service communication based on current guidelines.,47,semantic,7944,2000,0.7795645984372954,0.4367926004485181
118,summarization,it_operations,Assess monitoring and alerting configuration for IdentityService as soon as possible.,236,semantic,132,20,0.7237609871748132,0.05254402250919414
119,classification,architecture_standards,Assess event-driven architecture suitability for IdentityService,126,exact,3530,484,0.6425272375594779,0.49616250039016035
120,summarization,project_knowledge,Can you help me answer questions about CustomerPortal technical debt backlog as soon as possible.,400,semantic,7163,1071,0.8647224538347199,0.6616433478203194
121,question_answering,compliance,Review SOX controls for PaymentGateway financial reporting systems [ref:121-162788],-1,new,7161,851,0.7962834011067649,0.23499581643256864
122,reasoning,compliance,Assess ISO 27001 alignment regarding SecurityOps information security program based on current guidelines.,560,semantic,1748,458,0.707630032188951,0.29508683626491317
123,question_answering,it_operations,Evaluate monitoring and alerting configuration for PaymentGateway [ref:123-30099],-1,new,789,197,0.6624353185484307,0.3542224895840093
124,classification,security_policy,Confirm network segmentation rules regarding CloudPlatform production environment within the enterprise framework.,603,semantic,7588,2000,0.4727168898397886,0.13297786322787605
125,summarization,project_knowledge,I need to answer questions about ContentCMS technical debt backlog for our team?,290,semantic,134,30,0.8516213446044174,0.03606051972024126
126,extraction,architecture_standards,Evaluate microservices decomposition strategy for AnalyticsEngine [ref:126-473735],-1,new,492,190,0.6174016622442811,0.20217986728762755
127,summarization,compliance,Audit HIPAA safeguards for MLPipeline healthcare data processing [ref:127-171289],-1,new,1171,236,0.7550919252928321,0.22900337152011915
128,reasoning,project_knowledge,Reason through trade-offs for ContentCMS technology migration path,194,exact,2847,341,0.637021947667688,0.028523969020967873
129,extraction,compliance,Audit HIPAA safeguards regarding AnalyticsEngine healthcare data processing within the enterprise framework.,336,semantic,938,235,0.5940527856806773,0.24020304400492165
130,extraction,financial_procedures,Assess procurement compliance for ContentCMS vendor contracts [ref:130-841792],-1,new,3019,446,0.6863489369739433,0.155161036616624
131,extraction,financial_procedures,Analyze expense approval workflow for SecurityOps operational costs,406,exact,377,114,0.8388433469004357,0.22150928483128582
132,extraction,it_operations,Validate change management process for IdentityService deployments [ref:132-873320],-1,new,1244,137,0.3681148504606659,0.3535994108636243
133,retrieval,financial_procedures,Assess procurement compliance regarding IdentityService vendor contracts within the enterprise framework.,516,semantic,3459,425,0.645407430725553,0.18025749574126754
134,question_answering,it_operations,Analyze capacity planning projections for MLPipeline infrastructure [ref:134-44121],-1,new,1154,367,0.8975580524075051,0.02914776267257719
135,summarization,project_knowledge,Classify risk items identified in DataLake project retrospective [ref:135-444756],-1,new,779,186,0.878539548904694,0.10194644703782191
136,summarization,it_operations,Investigate capacity planning projections for DataLake infrastructure for our team?,431,semantic,7448,2000,0.9297801531170972,0.1706479720416415
137,reasoning,project_knowledge,Please assist with answer questions about ContentCMS technical debt backlog for our team?,494,semantic,444,79,0.42299005869004663,0.31859970990075587
138,extraction,architecture_standards,Analyze container orchestration approach for DevOpsToolchain workloads,746,exact,1891,280,0.6500536502745121,0.15166499488169305
139,summarization,financial_procedures,Analyze expense approval workflow for AnalyticsEngine operational costs,86,exact,192,69,0.8763126697984139,0.11697926908576232
140,question_answering,security_policy,Validate network segmentation rules regarding DevOpsToolchain production environment for our team?,397,semantic,702,192,0.7004970361432378,0.31763855258435786
141,summarization,financial_procedures,Confirm financial close procedures regarding SecurityOps quarterly reporting based on current guidelines.,44,semantic,3503,510,0.7213351690608736,0.20791957819185694
142,classification,security_policy,Validate network segmentation rules for MLPipeline production environment,579,exact,1808,234,0.783451691596019,0.276670995874177
143,question_answering,project_knowledge,Classify risk items identified in CustomerPortal project retrospective [ref:143-134442],-1,new,6532,2000,0.6295168166989771,0.06518151144079652
144,classification,it_operations,Validate change management process for DataLake deployments [ref:144-550855],-1,new,497,190,0.6988976580930946,0.19155687639447866
145,extraction,it_operations,Please assist with assess disaster recovery plan for PaymentGateway critical services as soon as possible.,461,semantic,356,46,0.6196498851176486,0.09932658495851458
146,retrieval,architecture_standards,Evaluate microservices decomposition strategy for IdentityService,526,exact,407,43,0.6538702409106809,0.24131424816137717
147,retrieval,it_operations,Evaluate monitoring and alerting configuration for MobileApp [ref:147-109150],-1,new,970,351,0.8915546911292507,0.37078284580683835
148,retrieval,it_operations,Review SLA targets for MLPipeline production availability,145,exact,119,27,0.753445754532403,0.1887435961298741
149,retrieval,financial_procedures,Validate financial close procedures for SecurityOps quarterly reporting,161,exact,370,84,0.7795833566153021,0.013610611283720096
150,summarization,it_operations,Review SLA targets for CustomerPortal production availability,217,exact,7831,2000,0.3398176559233285,0.10207060329008706
151,retrieval,compliance,Assess ISO 27001 alignment for ContentCMS information security program [ref:151-75503],-1,new,1671,636,0.677983128926663,0.11658458158491405
152,classification,it_operations,Analyze capacity planning projections for IdentityService infrastructure,34,exact,958,301,0.6927607007181982,0.12260530662319118
153,classification,security_policy,Validate network segmentation rules for DevOpsToolchain production environment,205,exact,333,43,0.6646689589394785,0.1315268104238804
154,retrieval,financial_procedures,Validate financial close procedures for LegacyERP quarterly reporting [ref:154-909292],-1,new,4583,1299,0.8615318411697305,0.2863518886546074
155,retrieval,financial_procedures,Review budget allocation process for DataLake capital expenditure [ref:155-954538],-1,new,277,34,0.8810332866575832,0.09792534186079224
156,summarization,financial_procedures,Analyze expense approval workflow for SecurityOps operational costs [ref:156-721724],-1,new,2883,306,0.6864898234229037,0.1843742049234927
157,extraction,financial_procedures,Review budget allocation process for SecurityOps capital expenditure,429,exact,196,21,0.43693359352442884,0.4756006433107513
158,question_answering,hr_policies,Examine remote work guideline applicability to SecurityOps engineering teams as soon as possible.,311,semantic,1980,287,0.6975680680221417,0.22175796489781652
159,summarization,it_operations,Evaluate monitoring and alerting configuration for CloudPlatform [ref:159-171135],-1,new,466,98,0.6457125598758099,0.21411522903687485
160,question_answering,security_policy,Examine access control guideline for MLPipeline under SOC2 specifications as soon as possible.,225,semantic,858,328,0.7631430565129289,0.22403334091895785
161,classification,hr_policies,Analyze compensation benchmarking for DataLake technical roles [ref:161-717452],-1,new,5049,1209,0.6453857083320088,0.04602191446729594
162,classification,architecture_standards,Assess microservices decomposition strategy regarding DevOpsToolchain based on current guidelines.,335,semantic,6873,1234,0.5391194488318123,0.2211211521832242
163,summarization,it_operations,Analyze capacity planning projections for DataLake infrastructure,431,exact,7438,2000,0.9297801531170972,0.1706479720416415
164,retrieval,it_operations,Validate change management process for CustomerPortal deployments [ref:164-873266],-1,new,164,28,0.8331813725324381,0.013634162159843033
165,retrieval,it_operations,Assess disaster recovery plan for CloudPlatform critical services [ref:165-571358],-1,new,1392,430,0.9511920847533781,0.08652404863977615
166,extraction,project_knowledge,Extract key requirements from AnalyticsEngine stakeholder meeting notes [ref:166-884314],-1,new,470,83,0.7255230169872959,0.13876534088011158
167,reasoning,security_policy,Validate network segmentation rules regarding ContentCMS production environment for our team?,368,semantic,733,76,0.5960090004556643,0.2480310291816621
168,retrieval,compliance,Assess ISO 27001 alignment for SecurityOps information security program,606,exact,301,91,0.581353974252779,0.3162680089362228
169,reasoning,project_knowledge,I need to summarize sprint deliverables for PaymentGateway Q3 roadmap for our team?,754,semantic,417,82,0.7436852133838583,0.05854029989222421
170,question_answering,architecture_standards,Evaluate microservices decomposition strategy for CustomerPortal,170,exact,255,66,0.43019749930088186,0.2100033309783536
171,extraction,project_knowledge,Can you help me classify risk items identified in LegacyERP project retrospective based on current guidelines.,676,semantic,886,96,0.8917578382558746,0.18185211497129017
172,retrieval,hr_policies,Examine remote work guideline applicability to MLPipeline engineering teams within the enterprise framework.,160,semantic,1803,565,0.9020761121333191,0.2597723947823955
173,classification,it_operations,Validate change management process for ContentCMS deployments [ref:173-280713],-1,new,1629,611,0.8342736302880153,0.07023852177362643
174,retrieval,architecture_standards,Analyze container orchestration approach for ContentCMS workloads,460,exact,1937,719,0.8170603852300902,0.2809282272187567
175,retrieval,financial_procedures,Assess procurement compliance for AnalyticsEngine vendor contracts,38,exact,1754,689,0.7493218544671518,0.050314789535015336
176,retrieval,hr_policies,Assess onboarding procedures for LegacyERP new team members [ref:176-437703],-1,new,1975,694,0.6621808387948701,0.14577572004847617
177,extraction,financial_procedures,Confirm financial close procedures regarding AnalyticsEngine quarterly reporting for our team?,668,semantic,285,46,0.9056412764498363,0.23369242000995952
178,classification,financial_procedures,Assess procurement compliance for CustomerPortal vendor contracts [ref:178-46277],-1,new,4957,1903,0.6159774855682821,0.04669957969378241
179,classification,hr_policies,Confirm diversity and inclusion initiatives regarding SecurityOps hiring pipeline as soon as possible.,745,semantic,1354,227,0.7317948549649558,0.08589676525875879
180,summarization,project_knowledge,Can you help me classify risk items identified in LegacyERP project retrospective as soon as possible.,795,semantic,1711,290,0.9007145529070477,0.22918975065194638
181,classification,security_policy,Review access control policy for MLPipeline under SOC2 requirements [ref:181-850128],-1,new,283,31,0.6948981361557549,0.11170704306226878
182,retrieval,architecture_standards,Assess event-driven architecture suitability for AnalyticsEngine,235,exact,971,341,0.6242335047261691,0.2080610940904932
183,retrieval,compliance,I need to assess ISO 27001 alignment for PaymentGateway information security program for our team?,537,semantic,1534,337,0.9712188296841362,0.3296622382301057
184,summarization,security_policy,Review access control policy for PaymentGateway under SOC2 requirements [ref:184-694638],-1,new,4092,657,0.8769968496710763,0.26414800448470177
185,summarization,financial_procedures,Validate financial close procedures for DataLake quarterly reporting,71,exact,151,38,0.9245177253529534,0.16154618468730342
186,retrieval,security_policy,Evaluate MFA enforcement for SecurityOps privileged accounts [ref:186-660603],-1,new,1357,301,0.24145536361120679,0.6096579952245526
187,reasoning,financial_procedures,Review budget allocation process for ContentCMS capital expenditure,502,exact,7374,920,0.8368743569034554,0.3745504463050366
188,summarization,compliance,Review SOX controls for LegacyERP financial reporting systems,157,exact,274,70,0.943409444394234,0.14749344036784176
189,classification,financial_procedures,Assess procurement compliance for IdentityService vendor contracts [ref:189-984782],-1,new,540,153,0.5681912796682314,0.13363824447893421
190,classification,it_operations,Investigate capacity planning projections for DataLake infrastructure for our team?,751,semantic,371,105,0.7260249031949304,0.12959521546101913
191,summarization,security_policy,Validate network segmentation rules for SecurityOps production environment,674,exact,4495,1051,0.8630138627369788,0.6688270412149311
192,summarization,financial_procedures,Review budget allocation process for CloudPlatform capital expenditure [ref:192-110816],-1,new,430,158,0.4243253024974389,0.19855811330178358
193,reasoning,security_policy,Could you evaluate MFA enforcement for MobileApp privileged accounts based on current guidelines.,529,semantic,307,44,0.6620696625528549,0.2907201388305553
194,summarization,security_policy,Assess data encryption standards for SecurityOps at rest and in transit [ref:194-369521],-1,new,671,256,0.8545297016230419,0.3011050267184612
195,question_answering,hr_policies,Validate diversity and inclusion initiatives for SecurityOps hiring pipeline,733,exact,329,45,0.5126854779812682,0.10583810600736283
196,extraction,project_knowledge,Reason through trade-offs for CustomerPortal technology migration path [ref:196-800728],-1,new,498,146,0.6496085234164528,0.012247758868761553
197,classification,project_knowledge,Answer questions about DevOpsToolchain technical debt backlog,577,exact,1814,540,0.9247518654410478,0.15164936506732138
198,classification,hr_policies,Assess onboarding procedures for DevOpsToolchain new team members,285,exact,142,32,0.9120313290379527,0.29004043423235837
199,extraction,hr_policies,Evaluate performance review criteria for IdentityService project contributors,250,exact,282,105,0.7927021305074238,0.04880399024160991
200,reasoning,compliance,Audit HIPAA safeguards for PaymentGateway healthcare data processing,731,exact,705,191,0.9102157834279879,0.028853148253969205
201,retrieval,it_operations,Evaluate monitoring and alerting configuration for DataLake,231,exact,185,49,0.7979951969630942,0.10534154994420461
